scenario,fiscal_year,revenue_source,amount_usd,in_split_base,notes
Pre-Cancellation Digital Gateway,2027,communications_sales_tax,11155000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,motor_vehicle_license,13523900.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,recordation_tax,2814000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,transient_occupancy_tax,2600000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,cigarette_tax,3667000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,investment_income,28420000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,state_aid_gf_direct,13485558.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,federal_pilt,80000.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,pptra_fixed_reimbursement,54288000.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2027,data_center_tax_revenue,507331428.0,True,Pre-Cancellation Digital Gateway DC = published GR forecast - Stage 4 BASE split components. Pre-ruling DG pipeline intact.
Pre-Cancellation Digital Gateway,2028,residential_real_estate,646375726.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,non_dc_commercial_real_estate,168578183.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,personal_property_vehicles,218021458.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,non_dc_business_tangible,21562200.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,local_sales_tax,106943740.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,bpol_tax,35848622.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,food_and_beverage_tax,23744318.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,consumer_utility_tax,15655387.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,communications_sales_tax,10820350.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,motor_vehicle_license,13659139.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,recordation_tax,2828070.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,transient_occupancy_tax,2600000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,cigarette_tax,3538655.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,investment_income,27440000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,state_aid_gf_direct,13887765.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,federal_pilt,80000.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,pptra_fixed_reimbursement,54288000.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2028,data_center_tax_revenue,592118166.0,True,Pre-Cancellation Digital Gateway DC = published GR forecast - Stage 4 BASE split components. Pre-ruling DG pipeline intact.
Pre-Cancellation Digital Gateway,2029,residential_real_estate,646732830.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,non_dc_commercial_real_estate,169003183.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,personal_property_vehicles,219599149.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,non_dc_business_tangible,21346578.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,local_sales_tax,109237341.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,bpol_tax,35207075.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,food_and_beverage_tax,24125462.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,consumer_utility_tax,15733664.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,communications_sales_tax,10495740.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,motor_vehicle_license,13795730.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,recordation_tax,2842210.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,transient_occupancy_tax,2600000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,cigarette_tax,3414802.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,investment_income,26460000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,state_aid_gf_direct,14301968.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,federal_pilt,80000.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,pptra_fixed_reimbursement,54288000.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2029,data_center_tax_revenue,674157640.0,True,Pre-Cancellation Digital Gateway DC = published GR forecast - Stage 4 BASE split components. Pre-ruling DG pipeline intact.
Pre-Cancellation Digital Gateway,2030,residential_real_estate,647088256.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,non_dc_commercial_real_estate,169428183.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,personal_property_vehicles,221188256.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,non_dc_business_tangible,21133112.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,local_sales_tax,111580133.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,bpol_tax,34577009.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,food_and_beverage_tax,24512724.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,consumer_utility_tax,15812333.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,communications_sales_tax,10180867.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,motor_vehicle_license,13933688.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,recordation_tax,2856421.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,transient_occupancy_tax,2600000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,cigarette_tax,3295284.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,investment_income,25480000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,state_aid_gf_direct,14728524.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,federal_pilt,80000.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,pptra_fixed_reimbursement,54288000.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2030,data_center_tax_revenue,760207618.0,True,Pre-Cancellation Digital Gateway DC = published GR forecast - Stage 4 BASE split components. Pre-ruling DG pipeline intact.
Pre-Cancellation Digital Gateway,2031,residential_real_estate,647442011.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,non_dc_commercial_real_estate,169853183.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,personal_property_vehicles,222788863.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,non_dc_business_tangible,20921781.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,local_sales_tax,113973170.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,bpol_tax,33958219.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,food_and_beverage_tax,24906202.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,consumer_utility_tax,15891394.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,communications_sales_tax,9875441.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,motor_vehicle_license,14073025.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,recordation_tax,2870704.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,transient_occupancy_tax,2600000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,cigarette_tax,3179949.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,investment_income,24500000.0,True,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,state_aid_gf_direct,15167802.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,federal_pilt,80000.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,pptra_fixed_reimbursement,54288000.0,False,Stage 4 BASE (non-DC)
Pre-Cancellation Digital Gateway,2031,data_center_tax_revenue,850184607.4888983,True,Pre-Cancellation Digital Gateway DC = published GR forecast - Stage 4 BASE split components. Pre-ruling DG pipeline intact.
CAPEX Spillover,2027,residential_real_estate,611697378.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,non_dc_commercial_real_estate,162483837.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,personal_property_vehicles,208227785.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,non_dc_business_tangible,21120000.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,local_sales_tax,100204820.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,bpol_tax,35080891.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,food_and_beverage_tax,27923840.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,consumer_utility_tax,15345000.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,communications_sales_tax,10925000.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,motor_vehicle_license,13323050.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,recordation_tax,2716000.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,transient_occupancy_tax,2574000.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,cigarette_tax,3610000.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,investment_income,27440000.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,state_aid_gf_direct,13183661.0,False,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,federal_pilt,80000.0,False,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,pptra_fixed_reimbursement,54288000.0,False,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2027,data_center_tax_revenue,485962428.0,True,CAPEX Spillover DC = Pre-Cancel DG DC (507.3M) - canceled Pageland (11.8M) - deterrence (8.2M) - write-down expected-value (1.39M)
CAPEX Spillover,2028,residential_real_estate,582819744.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,non_dc_commercial_real_estate,157396822.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,personal_property_vehicles,201762729.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,non_dc_business_tangible,20275200.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,local_sales_tax,97961034.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,bpol_tax,33111870.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,food_and_beverage_tax,21697136.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,consumer_utility_tax,15191550.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,communications_sales_tax,10378750.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,motor_vehicle_license,13256435.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,recordation_tax,2634520.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,transient_occupancy_tax,2548260.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,cigarette_tax,3429500.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,investment_income,25480000.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,state_aid_gf_direct,13272922.0,False,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,federal_pilt,80000.0,False,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,pptra_fixed_reimbursement,54288000.0,False,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2028,data_center_tax_revenue,529624166.0,True,CAPEX Spillover DC = Pre-Cancel DG DC (592.1M) - canceled Pageland (47.0M) - deterrence (14.1M) - write-down expected-value (1.39M)
CAPEX Spillover,2029,residential_real_estate,558397093.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,non_dc_commercial_real_estate,152462418.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,personal_property_vehicles,195498399.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,non_dc_business_tangible,19464192.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,local_sales_tax,95767490.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,bpol_tax,31253367.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,food_and_beverage_tax,21073648.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,consumer_utility_tax,15039634.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,communications_sales_tax,9859812.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,motor_vehicle_license,13190153.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,recordation_tax,2555484.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,transient_occupancy_tax,2522777.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,cigarette_tax,3258025.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,investment_income,23520000.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,state_aid_gf_direct,13362788.0,False,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,federal_pilt,80000.0,False,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,pptra_fixed_reimbursement,54288000.0,False,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2029,data_center_tax_revenue,548683640.0,True,CAPEX Spillover DC = Pre-Cancel DG DC (674.2M) - canceled Pageland (105.8M) - deterrence (18.3M) - write-down expected-value (1.39M)
CAPEX Spillover,2030,residential_real_estate,537923648.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,non_dc_commercial_real_estate,147676045.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,personal_property_vehicles,189428565.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,non_dc_business_tangible,18685624.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,local_sales_tax,93623065.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,bpol_tax,29499178.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,food_and_beverage_tax,20468075.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,consumer_utility_tax,14889238.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,communications_sales_tax,9366822.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,motor_vehicle_license,13124202.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,recordation_tax,2478820.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,transient_occupancy_tax,2497550.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,cigarette_tax,3095124.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,investment_income,21560000.0,True,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,state_aid_gf_direct,13453262.0,False,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,federal_pilt,80000.0,False,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
CAPEX Spillover,2030,pptra_fixed_reimbursement,54288000.0,False,Stage 4 LOW + Stage 3b residential-spillover overlay (peer-county grounded; non-DC; federal contraction travels with CAPEX Spillover)
