driver,parameter,scenario,value,unit,source_key,notes
residential_re,fy26_re_tax_rate_per_100,base,0.00906,fraction_of_assessed_value,PWC-REV-FY26-30,"$0.906/$100 FY26 adopted rate; held constant across scenarios (rate decisions are policy levers in Stage 6, separate from the three model scenarios)."
commercial_re,office_absorption_5yr_cagr,low,-0.030,fraction_per_year,JLL_NoVA_2025Q4,"Low: NoVA office vacancy structurally at 22% per 2025 JLL; non-DC commercial AV contracts -3%/yr."
commercial_re,office_absorption_5yr_cagr,base,0.000,fraction_per_year,JLL_NoVA_2025Q4,"Base: flat; FY26 PWC forecast implicitly assumes non-DC commercial is flat to modestly positive."
commercial_re,office_absorption_5yr_cagr,high,0.020,fraction_per_year,CUSH_NOVA_2026,"High: federal stabilization revives contractor office demand; +2%/yr."
commercial_re,non_dc_commercial_share_of_re_tax_base,base,0.135,fraction,PWC-ACFR-FY25,"Total commercial+industrial AV = 32.3% of total per FY25 ACFR; DCs = 56% of that = 18.1%; non-DC C&I = 14.2% (round to 13.5% after adjusting for industrial within DC figure)."
commercial_re,innovation_park_absorption_sqft_yr,low,-100000,sqft_per_year,PWC-RE-2025,"Low: Innovation Park absorption stalls; net give-back."
commercial_re,innovation_park_absorption_sqft_yr,base,200000,sqft_per_year,PWC-RE-2025,"Base: 2024 landbook added 836500 sqft non-DC commercial; conservative 200k going forward given federal weakness."
commercial_re,innovation_park_absorption_sqft_yr,high,500000,sqft_per_year,PWC-RE-2025,"High: stabilization + biotech/life-sciences absorption."
federal_exposure,va_federal_civilian_job_change_cumulative,low,-40000,jobs,whro2026dogecuts,"Low: current -23.5k trend (Nov-2025) extends; cumulative -40k by FY31 (Brookings Hamilton Project 2026Q1 estimate tracked)."
federal_exposure,va_federal_civilian_job_change_cumulative,base,-23500,jobs,whro2026dogecuts,"Base: holds at current -23.5k level (no further contraction)."
federal_exposure,va_federal_civilian_job_change_cumulative,high,-10000,jobs,whro2026dogecuts,"High: hiring restart absorbs half of losses by FY31."
federal_exposure,pwc_share_of_va_federal_contractors,base,0.065,fraction,BLS_QCEW_VA_2025Q2,"PWC share of VA federal contractor workforce: ~6.5% (PWC pop 517k / VA pop 8.8M weighted by DoD/IC-contractor density; BLS QCEW NAICS 5415/5416 concentration in NoVA)."
federal_exposure,pwc_fed_contractor_multiplier,base,1.8,dimensionless,mangum2020,"Household spending multiplier on direct federal-contractor income; IMPLAN-type indirect+induced."
federal_exposure,household_income_to_personal_property_elasticity,low,0.9,elasticity,bartik2005,"Personal property (vehicles) elasticity to HH income. Lit range 0.7-1.2. Low case uses upper end of loss sensitivity (vehicle purchases drop more than income)."
federal_exposure,household_income_to_personal_property_elasticity,base,0.7,elasticity,bartik2005,"Base elasticity."
federal_exposure,household_income_to_personal_property_elasticity,high,0.5,elasticity,bartik2005,"High case uses lower elasticity (vehicle fleet sticky)."
federal_exposure,household_income_to_sales_tax_elasticity,low,1.1,elasticity,cbo2024salestax,"Retail sales elasticity to disposable income; low case uses upper end of sensitivity."
federal_exposure,household_income_to_sales_tax_elasticity,base,0.9,elasticity,cbo2024salestax,"Base: 0.9 (Cavanaugh 2024 state sales-tax elasticity meta-analysis)."
federal_exposure,household_income_to_sales_tax_elasticity,high,0.7,elasticity,cbo2024salestax,"High case: less sensitive."
federal_exposure,bpol_to_contractor_receipts_elasticity,low,1.2,elasticity,synth_stage4,"BPOL gross-receipts tax scales ~1-1.2x with contractor revenue. PWC hosts many NAICS 5415/5416 firms so low case uses upper elasticity."
federal_exposure,bpol_to_contractor_receipts_elasticity,base,1.0,elasticity,synth_stage4,"Base."
federal_exposure,bpol_to_contractor_receipts_elasticity,high,0.8,elasticity,synth_stage4,"High."
federal_exposure,meals_tax_to_daytime_pop_elasticity,low,1.3,elasticity,synth_stage4,"Meals tax sensitive to daytime population + discretionary spending; low = upper elasticity (teleworker retention + contractor loss reduces lunch spending)."
federal_exposure,meals_tax_to_daytime_pop_elasticity,base,1.0,elasticity,synth_stage4,"Base 1:1."
federal_exposure,meals_tax_to_daytime_pop_elasticity,high,0.7,elasticity,synth_stage4,"High: less sensitive."
federal_exposure,federal_job_loss_housing_demand_pass_through,low,0.025,fraction_per_10k_jobs,brookings_hamilton_2026,"Housing-demand pass-through: each 10k VA federal jobs lost => -2.5% NoVA residential price pressure (low scenario)."
federal_exposure,federal_job_loss_housing_demand_pass_through,base,0.010,fraction_per_10k_jobs,brookings_hamilton_2026,"Base."
federal_exposure,federal_job_loss_housing_demand_pass_through,high,0.005,fraction_per_10k_jobs,brookings_hamilton_2026,"High."
state_aid,pwcs_enrollment_growth_cagr,low,-0.003,fraction_per_year,PWCS_ENROLL_2026,"Low: PWCS Aug-2025 enrollment 91,543 down from 92,200 peak; federal-worker outmigration extends decline to -0.3%/yr."
state_aid,pwcs_enrollment_growth_cagr,base,0.000,fraction_per_year,PWCS_ENROLL_2026,"Base: flat (PWCS 5-yr projection shows plateau)."
state_aid,pwcs_enrollment_growth_cagr,high,0.003,fraction_per_year,PWCS_ENROLL_2026,"High: modest recovery."
state_aid,soq_per_pupil_growth_cagr,low,0.020,fraction_per_year,VA_SOQ_2026,"VA biennial budget SOQ per-pupil rose ~3.5% in 2024-26 biennium; low case 2.0% under state fiscal tightening."
state_aid,soq_per_pupil_growth_cagr,base,0.035,fraction_per_year,VA_SOQ_2026,"Base SOQ growth ~3.5%/yr."
state_aid,soq_per_pupil_growth_cagr,high,0.045,fraction_per_year,VA_SOQ_2026,"High if JLARC recommendations adopted."
state_aid,pwc_lci_drift,low,0.010,fraction_per_year,VA_LCI_2026,"PWC LCI 0.4193 (2024-26); rises as DC-assessed-value denominator weakens -> PWC pays more = state share shrinks. Low case uses +1%/yr drift."
state_aid,pwc_lci_drift,base,0.005,fraction_per_year,VA_LCI_2026,"Base."
state_aid,pwc_lci_drift,high,0.000,fraction_per_year,VA_LCI_2026,"High: no adverse drift."
state_aid,fy26_gf_state_aid_baseline,base,13095000,USD,PWC-BUD-FY26-REV,"FY26 adopted GF direct state revenue (excl. schools component-unit)."
smaller_lines,consumer_utility_growth,low,-0.010,fraction_per_year,PWC-REV-FY26-30,"Declining with shift to distributed generation + cord-cutting equivalents."
smaller_lines,consumer_utility_growth,base,0.005,fraction_per_year,PWC-REV-FY26-30,"Flat to slight growth."
smaller_lines,consumer_utility_growth,high,0.010,fraction_per_year,PWC-REV-FY26-30,"Moderate growth."
smaller_lines,communications_sales_growth,low,-0.050,fraction_per_year,PWC-REV-FY26-30,"Cord-cutting acceleration; line fell from $12.4M FY23 to $11.5M FY26."
smaller_lines,communications_sales_growth,base,-0.030,fraction_per_year,PWC-REV-FY26-30,"Base: continues the published decline path."
smaller_lines,communications_sales_growth,high,-0.015,fraction_per_year,PWC-REV-FY26-30,"Slower decline."
smaller_lines,motor_vehicle_license_growth,low,-0.005,fraction_per_year,PWC-REV-FY26-30,"Low: mirrors vehicle-fleet contraction."
smaller_lines,motor_vehicle_license_growth,base,0.010,fraction_per_year,PWC-REV-FY26-30,"Base: aligns with FY26 adopted growth."
smaller_lines,motor_vehicle_license_growth,high,0.020,fraction_per_year,PWC-REV-FY26-30,"High."
smaller_lines,recordation_tax_growth,low,-0.030,fraction_per_year,PWC-REV-FY26-30,"Low: residential weakness + weak refinance activity reduces deed recordations."
smaller_lines,recordation_tax_growth,base,0.005,fraction_per_year,PWC-REV-FY26-30,"Base: flat."
smaller_lines,recordation_tax_growth,high,0.025,fraction_per_year,PWC-REV-FY26-30,"High: rate-cut cycle spurs refi wave."
smaller_lines,cigarette_tax_growth,low,-0.050,fraction_per_year,PWC-REV-FY26-30,"Structural decline; FY26 adopted guidance shows outyears dropping to $3.0M."
smaller_lines,cigarette_tax_growth,base,-0.035,fraction_per_year,PWC-REV-FY26-30,"Base."
smaller_lines,cigarette_tax_growth,high,-0.020,fraction_per_year,PWC-REV-FY26-30,"High."
smaller_lines,transient_occupancy_growth,low,-0.010,fraction_per_year,PWC-REV-FY26-30,"Low: federal travel cuts reduce hotel demand."
smaller_lines,transient_occupancy_growth,base,0.000,fraction_per_year,PWC-REV-FY26-30,"Base: flat."
smaller_lines,transient_occupancy_growth,high,0.015,fraction_per_year,PWC-REV-FY26-30,"High."
smaller_lines,investment_income_rate_assumption_pct,low,0.0300,fraction,FED_SOFR_2026Q1,"Low: SOFR falls to 3.0% over 5-yr as Fed cuts; FY26 $29.4M was built on ~4.5% portfolio yield; rate path drops yield."
smaller_lines,investment_income_rate_assumption_pct,base,0.0375,fraction,FED_SOFR_2026Q1,"Base: gradual decline to 3.75%."
smaller_lines,investment_income_rate_assumption_pct,high,0.0450,fraction,FED_SOFR_2026Q1,"High: rates hold at FY26 level."
smaller_lines,investment_income_portfolio_assumption,base,2200000000,USD,PWC-REV-FY26-30,"General pool portfolio average $2.2B per FY26 revenue book."
smaller_lines,bpol_base_growth,low,-0.040,fraction_per_year,PWC-REV-FY26-30,"Low: federal-contractor gross-receipts contraction + rate unchanged; BPOL already fell from $39.6M FY25 to $37.2M FY26."
smaller_lines,bpol_base_growth,base,-0.010,fraction_per_year,PWC-REV-FY26-30,"Base: mild decline."
smaller_lines,bpol_base_growth,high,0.020,fraction_per_year,PWC-REV-FY26-30,"High: contractor rebound."
smaller_lines,sales_tax_base_growth,low,-0.015,fraction_per_year,PWC-REV-FY26-30,"Low: discretionary spending weakness."
smaller_lines,sales_tax_base_growth,base,0.025,fraction_per_year,PWC-REV-FY26-30,"Base: FY26 adopted 2.5% growth assumption."
smaller_lines,sales_tax_base_growth,high,0.040,fraction_per_year,PWC-REV-FY26-30,"High."
smaller_lines,personal_property_vehicles_base_growth,low,-0.025,fraction_per_year,PWC-REV-FY26-30,"Low: vehicle-fleet contraction + fewer new-car purchases."
smaller_lines,personal_property_vehicles_base_growth,base,0.010,fraction_per_year,PWC-REV-FY26-30,"Base: modest fleet growth."
smaller_lines,personal_property_vehicles_base_growth,high,0.025,fraction_per_year,PWC-REV-FY26-30,"High."
smaller_lines,meals_tax_rate_fy26_fy27,base,0.035,fraction,PWC-REV-FY26-30,"Meals rate: 4% through 2025-12-31; 3% from 2026-01-01. FY26 is half-half, FY27+ is 3% full-year. Effective FY27 rate is 3%."
smaller_lines,meals_tax_base_growth_pre_rate,low,-0.020,fraction_per_year,PWC-REV-FY26-30,"Low: federal daytime-pop loss hits meals spending."
smaller_lines,meals_tax_base_growth_pre_rate,base,0.020,fraction_per_year,PWC-REV-FY26-30,"Base."
smaller_lines,meals_tax_base_growth_pre_rate,high,0.035,fraction_per_year,PWC-REV-FY26-30,"High."
smaller_lines,pptra_fixed_reimbursement,base,54288000,USD,PWC-PSFM-24,"Fixed Commonwealth PPTRA reimbursement $54.288M since 2006 per Va Code 58.1-3524. Held constant all scenarios."
smaller_lines,federal_pilt_growth,base,0.000,fraction_per_year,PWC-BUD-FY26-REV,"Federal PILT $80k held flat; de minimis."
