block,parameter,scenario,value,unit,source_key,notes
pension_opeb,retiree_health_credit_growth_pct,base,500,basis_points,PWC-BUD-FY26-COMP,"5.0% annual retiree health credit growth FY27-30 per Adopted Five-Year Plan Assumptions."
pension_opeb,health_insurance_growth_pct,base,1000,basis_points,PWC-BUD-FY26-COMP,"10.0% annual health & dental insurance rate growth FY27-30 per Adopted Five-Year Plan. Rising 5-year cumulative health cost is $74.36M (p.77)."
pension_opeb,health_insurance_growth_pct,low,600,basis_points,CMS-NHE,"6.0% annual -- CMS National Health Expenditure projections for group employer premiums 2025-2033."
pension_opeb,health_insurance_growth_pct,high,1400,basis_points,PWC-BUD-FY26-COMP,"14.0% annual -- adverse medical trend scenario; AON/Mercer 2025 forecasts."
pension_opeb,npl_fy25_current_rate,base,189682000,usd,PWC-ACFR-FY25,"VRS county NPL at 6.75% discount rate (measurement 6/30/2024)."
pension_opeb,npl_fy25_minus_100bp_stress,base,438825000,usd,PWC-ACFR-FY25,"NPL if discount rate to 5.75%; for Stage 6 stress test only."
pension_opeb,opeb_net_asset_fy25,base,-7888000,usd,PWC-ACFR-FY25,"OPEB trust fund overfunded -- net asset $7.9M (negative liability); no contribution drift assumed."
#
# === BLOCK 6: OPERATING INFLATION (CPI and proxies) ===
inflation,cpi_ua_base,base,300,basis_points,CBO-2025,"3.0% base annual CPI assumption -- midpoint CBO Feb 2025 Long-Term Budget Outlook 2026-2030 average 2.4%, with BLS recent 2.9% Dec 2024 trailing."
inflation,cpi_ua_low,low,200,basis_points,CBO-2025,"2.0% low -- CBO baseline 2028-2030 assumption."
inflation,cpi_ua_high,high,450,basis_points,BLS-CPI,"4.5% high -- adverse tariff-driven reacceleration; April 2025 Fed flagged stagflation risk (Adopted Revenue FY26-30 p.2)."
inflation,state_local_services_index,base,360,basis_points,BLS-QCEW,"BLS state-and-local government services price index 2020-2025 5-yr trailing CAGR 3.6% (proxy where CPI-UA insufficient)."
#
# === BLOCK 7: CAPITAL (PAYGO) ===
capital_paygo,fy26_adopted,base,33091285,usd,PWC-BUD-FY26-SUMM,"FY26 County CIP Expenditures (cash-financed; excludes debt-financed). Five-Year Plan Summary p.42."
capital_paygo,fy27_adopted,base,36974594,usd,PWC-BUD-FY26-SUMM,FY27 County CIP Expenditures per Adopted Five-Year Plan.
capital_paygo,fy28_adopted,base,58968718,usd,PWC-BUD-FY26-SUMM,FY28 County CIP Expenditures per Adopted Five-Year Plan.
capital_paygo,fy29_adopted,base,86140722,usd,PWC-BUD-FY26-SUMM,FY29 County CIP Expenditures per Adopted Five-Year Plan.
capital_paygo,fy30_adopted,base,101639730,usd,PWC-BUD-FY26-SUMM,FY30 County CIP Expenditures per Adopted Five-Year Plan.
capital_paygo,fy31_extrapolated,base,115000000,usd,derived,"FY31 extrapolated at approximately 13% growth (trailing 3-yr growth rate from FY28-30 was 14-46%; using conservative 13% YoY over FY30)."
#
# === BLOCK 8: FY31 EXTRAPOLATION PARAMETERS (County plan stops at FY30) ===
fy31_extrapolation,total_gf_growth_rate,base,420,basis_points,derived,"4.2% applied to total GF expenditure FY30->FY31. Matches the 4.19% CAGR of the Adopted Five-Year Plan Total GF Expenditures FY26-FY30."
fy31_extrapolation,total_gf_growth_rate,low,280,basis_points,derived,"2.8% = published Five-Year Plan trailing growth."
fy31_extrapolation,total_gf_growth_rate,high,550,basis_points,derived,"5.5% adverse with inflation + CBA uplift."
#
# === BLOCK 9: COUNTY ADOPTED FIVE-YEAR PLAN ANCHOR VALUES (verbatim from PWC-BUD-FY26-SUMM p.40) ===
anchor,gf_total_fy26,base,1981562829,usd,PWC-BUD-FY26-SUMM,Total General Fund Expenditure including County transfer to Schools.
anchor,gf_total_fy27,base,2048163328,usd,PWC-BUD-FY26-SUMM,Total GF Expenditure Adopted plan.
anchor,gf_total_fy28,base,2134836826,usd,PWC-BUD-FY26-SUMM,Total GF Expenditure Adopted plan.
anchor,gf_total_fy29,base,2231427095,usd,PWC-BUD-FY26-SUMM,Total GF Expenditure Adopted plan.
anchor,gf_total_fy30,base,2324920850,usd,PWC-BUD-FY26-SUMM,Total GF Expenditure Adopted plan.
anchor,county_op_fy26,base,956862500,usd,PWC-BUD-FY26-SUMM,County Operating Expenditures Adopted plan (excl. CIP + excl. school transfer).
anchor,county_op_fy27,base,976524302,usd,PWC-BUD-FY26-SUMM,
anchor,county_op_fy28,base,994373333,usd,PWC-BUD-FY26-SUMM,
anchor,county_op_fy29,base,1015136145,usd,PWC-BUD-FY26-SUMM,
anchor,county_op_fy30,base,1042126096,usd,PWC-BUD-FY26-SUMM,
anchor,cip_fy26,base,33091285,usd,PWC-BUD-FY26-SUMM,
anchor,cip_fy27,base,36974594,usd,PWC-BUD-FY26-SUMM,
anchor,cip_fy28,base,58968718,usd,PWC-BUD-FY26-SUMM,
anchor,cip_fy29,base,86140722,usd,PWC-BUD-FY26-SUMM,
anchor,cip_fy30,base,101639730,usd,PWC-BUD-FY26-SUMM,
anchor,schools_fy26,base,991609044,usd,PWC-BUD-FY26-SUMM,
anchor,schools_fy27,base,1034664432,usd,PWC-BUD-FY26-SUMM,
anchor,schools_fy28,base,1081494776,usd,PWC-BUD-FY26-SUMM,
anchor,schools_fy29,base,1130150228,usd,PWC-BUD-FY26-SUMM,
anchor,schools_fy30,base,1181155024,usd,PWC-BUD-FY26-SUMM,
anchor,gr_base_fy26,base,1732673500,usd,PWC-BUD-FY26-REV,General Revenue base subject to 57.23/42.77 split.
anchor,gr_base_fy27,base,1807905700,usd,PWC-REV-FY26-30,
anchor,gr_base_fy28,base,1889734014,usd,PWC-REV-FY26-30,
anchor,gr_base_fy29,base,1974751404,usd,PWC-REV-FY26-30,
anchor,gr_base_fy30,base,2063873884,usd,PWC-REV-FY26-30,
